#q1           q2            q3            q4            q5            q6            q7            q8            q9            q10           q11           q12           q13           q14           q15           q16           lamb9         lamb10        lamb11        lamb12        lamb13        lamb14        lamb15        lamb16        
6.2388654262402441e-17  9.9999999999999978e-01  1.4309533412760397e-01  3.0477905855085790e+00  1.4564021330577099e+00  1.5940322066135673e+01  1.5816357449705631e+01  1.2159700400152846e+02  2.0039470249414728e+02  1.2526712916776783e+03  2.9825979244897967e+03  1.6621152870437400e+04  5.1824589328527691e+04  2.7424708281415503e+05  1.0424871879714240e+06  5.4683697119809128e+06  7.1117793713214666e-02  5.0163882263803372e-01  -2.3773895741302700e-02  5.7261934334687438e-04  -8.1660727573650532e-06  7.0713187089792119e-08  -3.4711150497435341e-10  7.4645651660364901e-13  
3.0973098741736600e-17  9.9999999999999967e-01  -1.7711310376727346e-01  3.3423389877708938e+00  -2.9987650267644472e+00  2.6512259280324574e+01  -8.0605930947588476e+01  5.7002816072512621e+02  -3.2834055710453413e+03  2.3482248225575757e+04  -1.6503458168716426e+05  1.2233513901908223e+06  -9.1343721034164578e+06  6.9451786291219473e+07  -5.3239268412763000e+08  4.1197242069286928e+09  -5.9742716575957380e-02  5.2948937865411994e-01  1.6842193312446380e-02  -3.5896927272824849e-03  4.4166876802613275e-04  9.0796257351728194e-06  -9.5121978090691284e-07  5.7087095113495044e-07  
1.3359502933634288e-16  1.0000000000000000e+00  -2.9291819953185627e-01  3.1894141583259978e+00  -3.1198141586261947e+00  1.8960505381952746e+01  -3.7155741595256750e+01  1.8145712908979704e+02  -5.4777886223333826e+02  2.5588767208648719e+03  -1.0144174250489277e+04  4.9486409581845081e+04  -2.3496574822865444e+05  1.2423219983139813e+06  -6.7267437271731971e+06  3.8937492259650767e+07  -1.4424463792233097e-01  5.0391888199243151e-01  4.8645289503725417e-02  2.8447473351239415e-03  1.0550591002873931e-04  2.3772748496290861e-06  2.9520871250990178e-08  1.5435264065463739e-10  
0.0000000000000000e+00  9.9999999999999978e-01  -9.5969025988980244e-02  3.0213167455291683e+00  -9.6720940213998596e-01  1.5415501545803856e+01  -1.0308511157926914e+01  1.1221554495393498e+02  -1.2672084081544804e+02  1.0755446330423795e+03  -1.8049471324571223e+03  1.2948946280628898e+04  -2.9549482966712407e+04  1.8970347160199404e+05  -5.5070556853757380e+05  3.3021220303339227e+06  -4.7858986062480312e-02  5.0071064762611917e-01  1.5973532468313727e-02  2.6386316903806266e-04  2.6323693849576003e-06  1.5947981555797406e-08  5.4409111296198230e-11  8.0624577975842237e-14  
-3.3231463088904993e-17  1.0000000000000002e+00  -6.6328305400774099e-02  3.0104444030888549e+00  -6.6591681491404175e-01  1.5201577797101727e+01  -7.0444359744589820e+00  1.0846467598668718e+02  -8.5547228677682511e+01  1.0069190118564055e+03  -1.1968719514009456e+03  1.1588028410911771e+04  -1.9119584194133917e+04  1.6014450041945704e+05  -3.4512528881962347e+05  2.5978149452734925e+06  -3.3115015161221749e-02  5.0040738541905350e-01  1.1045075158766224e-02  1.1502422993110260e-04  6.8536179163028667e-07  2.3957243933265114e-09  4.5898348501679076e-12  3.7309155967738597e-15  
-1.8847527308860181e-16  1.0000000000000000e+00  -1.3065000852668140e-01  3.0386814522481660e+00  -1.3245580223258062e+00  1.5762481633419858e+01  -1.4283785396233581e+01  1.1842023831107026e+02  -1.7900269543748161e+02  1.1920782318566080e+03  -2.6228709558066298e+03  1.5340541544054986e+04  -4.4632049212156126e+04  2.4395722987812257e+05  -8.7430882969926356e+05  4.6657208308630995e+06  -6.5053789206092699e-02  5.0109894591604764e-01  2.1735502408120590e-02  5.2384251228776847e-04  8.0036883251924654e-06  7.6386745100853231e-08  4.1677350119000434e-10  9.9267153785087456e-13  
6.4387176640034962e-16  1.0000000000000004e+00  -9.1814393304305117e-02  3.0000624788033132e+00  -9.1843732725285221e-01  1.5086242571361501e+01  -9.6449614453179890e+00  1.0740091476057758e+02  -1.1595996747807899e+02  9.9888562207120628e+02  -1.6033478485141932e+03  1.1579339803838977e+04  -2.5289702132457303e+04  1.6210562084355904e+05  -4.5067150252061500e+05  2.6767284808345367e+06  -4.5343961706098772e-02  4.9586885699227035e-01  1.4727303143300610e-02  9.8942916546942918e-04  1.0118785226279838e-04  1.0314646897484359e-05  6.2590287022534861e-07  2.1763712715278372e-08  
-7.2031415464659905e-17  9.9999999999999967e-01  -9.9539222377848707e-02  3.0230088240306112e+00  -1.0038456023482438e+00  1.5448488384843129e+01  -1.0712058516495366e+01  1.1279364037387734e+02  -1.3193830250571639e+02  1.0861874440302583e+03  -1.8845688501840918e+03  1.3162590151163819e+04  -3.0971089285646263e+04  1.9442717513094447e+05  -5.8004748836469569e+05  3.4173209525824836e+06  -4.9627047657942736e-02  5.0078214276777011e-01  1.6565402572101193e-02  2.8076728634055984e-04  2.8267128068428271e-06  1.7051666244586424e-08  5.7266672078203146e-11  8.2720384888991342e-14  
-7.4610928992216079e-17  1.0000000000000004e+00  4.8959426075657320e-01  3.5788745573658107e+00  6.0276947132325276e+00  2.9223496845135159e+01  9.6388685567542709e+01  4.7326698706859781e+02  2.2915362487048769e+03  1.3124319477625777e+04  8.0450252916930258e+04  5.3976731309564167e+05  3.8525318670324818e+06  2.9050569351142708e+07  2.2852248416445121e+08  1.8605600358736680e+09  2.3001844349965458e-01  5.1600275829774955e-01  -7.9089586842263054e-02  6.4391427771432726e-03  -3.1653258940250799e-04  9.1903177871889656e-06  -1.4158740837136268e-07  9.1163794569331985e-10  
7.2135952387396566e-17  9.9999999999999978e-01  1.7526517162626926e-01  3.0698424654956331e+00  1.7966834900121254e+00  1.6393011646033091e+01  1.9798265121597062e+01  1.2999749177208872e+02  2.5697389351508900e+02  1.4186618947158502e+03  3.9627734166517826e+03  2.0263237239104281e+04  7.2237444082212736e+04  3.6412859983572329e+05  1.5442733353030926e+06  7.9699509670465570e+06  8.6972843160907989e-02  5.0197929851849399e-01  -2.9111721541717192e-02  9.3632328126877430e-04  -1.9322220453229201e-05  2.4996291287573299e-07  -1.8535381289349013e-09  6.0376480036772737e-12  
