#q1           q2            q3            q4            q5            q6            q7            q8            q9            q10           q11           q12           q13           q14           q15           q16           q17           q18           q19           q20           lamb1         lamb2         lamb3         lamb4         
2.3542400475740438e-15  1.0000000000000002e+00  -8.3182118078486786e-02  2.9967867888063631e+00  -8.2085546110923768e-01  1.5014892055047261e+01  -8.4945925419017403e+00  1.0604545703434219e+02  -1.0045930985689853e+02  9.7251591056040047e+02  -1.3627512572875105e+03  1.1032470263919089e+04  -2.1015544823424174e+04  1.4986985278264340e+05  -3.6459187562179298e+05  2.3805421571589964e+06  -7.0467289154863637e+06  4.3395824966448709e+07  -1.5043682472919381e+08  8.9409375751501989e+08  -4.2451876096612030e-02  4.9578588343700064e-01  1.4261534856308359e-02  1.0000000000000000e-03  
2.2359202559914359e-15  1.0000000000000004e+00  -1.2576736306168551e-01  3.0228067332199697e+00  -1.2565847014046896e+00  1.5492012893345093e+01  -1.3273244969993387e+01  1.1398955528688947e+02  -1.6177930024982504e+02  1.1119818582036153e+03  -2.2866511185703489e+03  1.3702796246059863e+04  -3.7183533255997558e+04  2.0606902985793303e+05  -6.8877123514169885e+05  3.6802938093246012e+06  -1.4395238102703137e+07  7.6326793467477709e+07  -3.3647589094193286e+08  1.8043398381279547e+09  -6.3657686390355392e-02  4.9798905107075553e-01  2.1386918614200445e-02  1.0000000000000000e-03  
-5.2445039993941312e-16  1.0000000000000000e+00  2.3012185927097181e-02  2.9783366777421039e+00  2.2512109049382953e-01  1.4684401192341234e+01  2.2966930330304214e+00  1.0072074943354798e+02  2.6602347174562379e+01  8.8299109744158750e+02  3.5082470975424661e+02  9.4088855001805532e+03  5.2167768532098844e+03  1.1787331736084048e+05  8.6502974282259180e+04  1.6955966193389499e+06  1.5832318838596274e+06  2.7516465963831257e+07  3.1701472092652548e+07  4.9691620204529148e+08  1.1813292880841750e-02  4.9418031061202700e-01  -3.9684472081833256e-03  1.0000000000000000e-03  
-4.8287030761239958e-15  1.0000000000000002e+00  1.1799130793022389e-01  3.0172307603454760e+00  1.1757453221586611e+00  1.5388642196893635e+01  1.2364315651213895e+01  1.1224190821498091e+02  1.4971654491690512e+02  1.0806844773590101e+03  2.0972906882178372e+03  1.3088681754672391e+04  3.3712481419779921e+04  1.9276422472760789e+05  6.1563130885972513e+05  3.3622188788005938e+06  1.2650124212274801e+07  6.7966110469133288e+07  2.8995223457966805e+08  1.5638601543694310e+09  5.9827423096637501e-02  4.9752294032746275e-01  -2.0099796109452239e-02  1.0000000000000000e-03  
3.1189039160647663e-16  1.0000000000000004e+00  -1.2366771751297819e-02  2.9772550244383593e+00  -1.2091888501137869e-01  1.4665219509913918e+01  -1.2325969479324659e+00  1.0041603303371150e+02  -1.4259837840212741e+01  8.7796230964053007e+02  -1.8774796145970313e+02  9.3198050198246383e+03  -2.7859363040402986e+03  1.1616762533300109e+05  -4.6074280957285831e+04  1.6603191690303052e+06  -8.4059806802994665e+05  2.6730976254644830e+07  -1.6768027451558899e+07  4.7816319361662942e+08  -6.3506597206511315e-03  4.9408506440484246e-01  2.1333756025520715e-03  1.0000000000000000e-03  
-5.9898191512003975e-16  1.0000000000000002e+00  2.3940929283232791e-02  2.9784619582543597e+00  2.3422047734190557e-01  1.4686624240319832e+01  2.3897547126492125e+00  1.0075609467319433e+02  2.7684137990511037e+01  8.8357506401971841e+02  3.6516022723758118e+02  9.4192446284321140e+03  5.4312742802938355e+03  1.1807201497007190e+05  9.0087135030317935e+04  1.6997145977908985e+06  1.6494400368792342e+06  2.7608378117887694e+07  3.3041627671094541e+07  4.9911662394564384e+08  1.2289573117216714e-02  4.9419133432015599e-01  -4.1284456114497776e-03  1.0000000000000000e-03  
-2.3236645855665733e-15  1.0000000000000004e+00  8.0307927499291845e-02  2.9954234687052157e+00  7.9198109613677392e-01  1.4990254553602073e+01  8.1870962742298872e+00  1.0564358522297047e+02  9.6672605987957269e+01  9.6564963754278358e+02  1.3086206096872399e+03  1.0905427488180076e+04  2.0125954125662141e+04  1.4730522567920701e+05  3.4798393241630204e+05  2.3240792253826265e+06  6.6985966716171736e+06  4.2044341776635908e+07  1.4233094807081667e+08  8.5906557143060184e+08  4.1002782988901788e-02  4.9566847605081804e-01  -1.3774671566299397e-02  1.0000000000000000e-03  
-3.9466665892966640e-15  1.0000000000000002e+00  1.1160332982337717e-01  3.0129288614324885e+00  1.1098067437171069e+00  1.5309316918222422e+01  1.1631178776889920e+01  1.1091085971059475e+02  1.4013378671624844e+02  1.0570823851885530e+03  1.9496497602558784e+03  1.2631247191047738e+04  3.1063490921752364e+04  1.8299957708043515e+05  5.6110032306942216e+05  3.1327572006853907e+06  1.1380688716564450e+07  6.2050742723133400e+07  2.5696474804358041e+08  1.3973326294271393e+09  5.6665629694994626e-02  4.9716108936386222e-01  -1.9037347671428881e-02  1.0000000000000000e-03  
-1.6295958170765673e-15  9.9999999999999967e-01  6.6093007442093774e-02  2.9893981899760207e+00  6.4994290523457310e-01  1.4881785782778316e+01  6.6874506088179970e+00  1.0388381585800371e+02  7.8427471264052542e+01  9.3579414775452494e+02  1.0518420321699275e+03  1.0357882198275842e+04  1.5984467936017016e+04  1.3636899056754453e+05  2.7230670277141372e+05  2.0862963379767963e+06  5.1491970676905662e+06  3.6433686520283930e+07  1.0714840258362307e+08  7.1596282944876826e+08  3.3809721069789703e-02  4.9514723326446874e-01  -1.1358031033185834e-02  1.0000000000000000e-03  
4.9169146494571892e-16  1.0000000000000002e+00  -7.0644946016213947e-02  2.9911981408389683e+00  -6.9529621470122771e-01  1.4914117904867792e+01  -7.1640803139400910e+00  1.0440674933970257e+02  -8.4188317742324500e+01  9.4463013079384336e+02  -1.1322282395173800e+03  1.0519109574176458e+04  -1.7267491701670890e+04  1.3956935633583475e+05  -2.9546752047407435e+05  2.1553737086128513e+06  -5.6169627875112575e+06  3.8049892893227287e+07  -1.1761380997743522e+08  7.5679162349976814e+08  -3.6117595638376888e-02  4.9530334793217551e-01  1.2133391807480525e-02  1.0000000000000000e-03  
-2.6709771636312395e-15  1.0000000000000002e+00  1.0422239325915021e-01  3.0082685751170373e+00  1.0341083997779323e+00  1.5223796017250860e+01  1.0798059600828600e+01  1.0948553560349588e+02  1.2939485740145506e+02  1.0320320917005947e+03  1.7870261810098036e+03  1.2151096166144745e+04  2.8203131410263468e+04  1.7288543769076979e+05  5.0348715210452653e+05  2.8987293354124348e+06  1.0070103736717718e+07  5.6122345525151916e+07  2.2371432936875317e+08  1.2336421420137362e+09  5.2996290910100351e-02  4.9676688760054927e-01  -1.7804393494378668e-02  1.0000000000000000e-03  
6.9303353455835415e-16  1.0000000000000000e+00  4.8207290660668152e-02  2.9834989023293401e+00  4.7274283765294384e-01  1.4776238508557443e+01  4.8420966832077115e+00  1.0218618127788214e+02  5.6410203032847178e+01  9.0731757986369564e+02  7.4976896227185500e+02  9.8430017228592169e+03  1.1262308398893132e+04  1.2626098052072500e+05  1.8911107212831973e+05  1.8709472639351811e+06  3.5142851283764248e+06  3.1470240854840714e+07  7.1644871333183467e+07  5.9268599152927339e+08  2.4706600853919816e-02  4.9463316922537831e-01  -8.2998100055209061e-03  1.0000000000000000e-03  
-8.9315294297065914e-15  9.9999999999999978e-01  1.6303927564353118e-01  3.0548367644901409e+00  1.6544528463687789e+00  1.6098392136090169e+01  1.7936914079994157e+01  1.2455165996147844e+02  2.2726149180152760e+02  1.3087554092837759e+03  3.3879904785059839e+03  1.7760924286459325e+04  5.9028607210714486e+04  2.9944910141968180e+05  1.1906866334726983e+06  6.0761232348438902e+06  2.7535564458994504e+07  1.4459488218669730e+08  7.2305663576465285e+08  3.9535053521296620e+09  8.1690891381098571e-02  5.0060290196057855e-01  -2.7447682827890247e-02  1.0000000000000000e-03  
-2.3263581243141700e-15  1.0000000000000007e+00  7.9175282755949261e-02  2.9948996651222277e+00  7.8061765087849455e-01  1.4980797866636520e+01  8.0663407422012625e+00  1.0548954666754075e+02  9.5190014312871668e+01  9.6302254587419554e+02  1.2875088474462748e+03  1.0856930191408652e+04  1.9780608615261601e+04  1.4632889007706218e+05  3.4157071050144441e+05  2.3026534176702672e+06  6.5649439831989966e+06  4.1533393215482846e+07  1.3923821776557535e+08  8.4587761656968594e+08  4.0431213677391269e-02  4.9562331450810942e-01  -1.3582638269471415e-02  1.0000000000000000e-03  
